gu,51314
immortal,51255
path,21154
time,17418
rank,14162
like,11975
heaven,9476
master,9474
strength,8799
look,8632
know,8496
killer,8438
long,8355
battle,8066
body,7583
soul,7228
light,6784
great,6691
beast,6667
let,6570
think,6466
want,6355
chapter,6354
leave,6238
eye,6200
formation,6181
say,6147
attack,6139
find,6114
need,6001
life,5930
land,5904
use,5782
feel,5764
venerable,5757
method,5641
turn,5489
huge,5446
go,5421
true,5299
hand,5183
see,5085
worm,5031
fly,4982
come,4906
essence,4905
heavenly,4767
aperture,4727
inheritance,4686
expression,4646
world,4627
situation,4616
good,4462
take,4460
moment,4370
blood,4283
right,4264
dream,4257
people,4239
old,4228
face,4201
soon,4182
kill,4081
head,4054
quickly,4029
fight,4014
lord,4011
demon,3980
start,3917
man,3843
human,3788
clan,3754
wolf,3749
able,3720
heart,3709
move,3676
help,3637
star,3633
giant,3612
group,3586
force,3583
extremely,3565
form,3485
immediately,3455
luck,3401
refinement,3385
large,3325
strong,3324
white,3310
person,3292
leader,3291
earth,3289
fairy,3256
appear,3246
get,3236
way,3209
fix,3208
level,3193
inside,3180
elder,3174
give,3170
obtain,3156
blessed,3147
dragon,3080
qi,3080
mountain,3078
away,3055
young,3008
try,3004
fall,3000
possible,2994
stone,2990
high,2987
speak,2972
deep,2971
wisdom,2965
water,2963
break,2962
refine,2953
dao,2946
lose,2939
stop,2918
cultivation,2887
mortal,2879
primeval,2856
number,2791
suddenly,2776
mark,2771
wind,2770
point,2766
sky,2753
black,2712
report,2711
enter,2683
content,2656
actually,2588
zombie,2582
open,2564
destroy,2553
death,2544
small,2536
hear,2535
sigh,2531
laugh,2528
ask,2517
non,2509
mind,2504
matter,2488
realm,2460
shake,2450
link,2446
desolate,2426
completely,2414
standard,2412
gaze,2407
shout,2403
error,2386
stand,2378
etc,2372
information,2365
little,2358
place,2357
ground,2351
show,2323
tribulation,2315
control,2312
gain,2303
resource,2267
material,2262
early,2256
spirit,2240
step,2227
change,2224
send,2214
king,2196
finally,2187
moved,2187
end,2183
dark,2177
thought,2157
lightning,2153
word,2147
tribe,2144
countless,2130
battlefield,2126
thing,2106
brother,2103
die,2100
plan,2097
smiled,2084
stage,2083
cloud,2078
air,2074
power,2071
truly,2058
ancient,2053
court,2047
righteous,2027
previous,2023
hold,2018
red,2006
fire,2001
continued,2000
green,1994
river,1994
lot,1980
deal,1980
house,1976
sun,1974
demonic,1974
cause,1948
return,1928
enemy,1919
calamity,1919
reach,1909
main,1884
created,1864
sword,1860
definitely,1859
sound,1857
broken,1835
sea,1835
shock,1835
rest,1831
yellow,1801
current,1795
chance,1795
area,1794
entire,1793
ancestor,1790
different,1783
aura,1781
pass,1775
walk,1772
rise,1768
changed,1766
understand,1758
fill,1748
expert,1746
big,1733
hide,1728
slowly,1722
outside,1712
flow,1708
region,1699
future,1698
secret,1687
translator,1685
editor,1678
hard,1654
create,1650
ice,1649
retreat,1639
sect,1637
work,1616
nod,1605
far,1600
grow,1582
treasure,1582
cover,1575
rock,1563
wall,1550
foundation,1546
shine,1545
problem,1541
follow,1532
rapidly,1532
escape,1530
grotto,1530
self,1525
supreme,1524
bring,1519
wave,1515
new,1507
instead,1506
voice,1505
clear,1500
remain,1497
wait,1496
cold,1475
died,1472
activated,1472
set,1470
attainment,1469
result,1468
immemorial,1460
hair,1459
fate,1459
live,1456
speed,1453
deeply,1448
choose,1448
injury,1448
recipe,1440
slightly,1439
tell,1439
myriad,1427
naturally,1422
alliance,1417
effect,1408
super,1404
arm,1388
weak,1386
blue,1376
mean,1363
reason,1362
sense,1362
intense,1360
past,1346
eagle,1346
easily,1344
continue,1341
golden,1337
allow,1326
ordinary,1324
building,1320
gather,1319
easy,1316
spectral,1315
travel,1305
tree,1300
fail,1297
happen,1290
spread,1287
phantom,1284
close,1280
hope,1279
price,1269
southern,1263
course,1256
succeed,1254
directly,1249
low,1244
peak,1241
ability,1224
constellation,1221
loss,1219
sell,1219
benefit,1218
suppress,1214
powerful,1212
border,1208
lead,1206
greatly,1202
wild,1199
call,1198
effort,1197
sovereign,1197
raised,1196
jade,1193
smile,1187
stay,1187
limit,1179
suffer,1179
extreme,1179
tooth,1178
make,1173
defend,1173
target,1170
breath,1170
pay,1168
important,1167
caused,1164
join,1164
surround,1158
action,1150
advantage,1147
order,1143
bear,1142
unable,1137
grandmaster,1137
worry,1135
watch,1124
spring,1121
scene,1121
lady,1120
flower,1115
raise,1102
northern,1102
space,1101
truth,1100
trap,1099
bone,1098
corpse,1089
fast,1087
act,1087
plain,1080
dare,1079
appearance,1077
bad,1077
block,1076
difficult,1074
layer,1072
transformation,1071
experience,1069
round,1066
flash,1061
activate,1058
guard,1052
shoot,1050
save,1045
hairy,1040
expect,1037
resist,1035
cultivate,1033
wine,1033
core,1033
charge,1031
trace,1028
fist,1027
grass,1025
crucial,1024
have,1021
snow,1020
accord,1020
attention,1018
dog,1018
clearly,1015
cave,1009
clone,1008
opportunity,1005
lotus,1005
mouth,1004
meet,1001
frown,999
fact,998
run,990
forward,989
begin,987
divine,983
defense,982
shadow,974
dead,971
hall,969
increase,965
sit,962
ghost,954
state,951
member,950
defeat,948
sharp,946
grand,943
secretly,943
pressure,942
heavy,942
father,940
protect,938
piece,938
door,936
float,936
calm,934
choice,934
keep,930
simply,928
purple,928
kind,926
strike,926
enslavement,925
fear,924
final,922
bright,916
feeling,916
anger,911
talent,909
period,909
tone,908
rule,901
later,898
variant,898
exposed,896
agreement,893
loudly,890
refined,883
mission,882
well,880
food,880
hit,877
process,875
room,874
size,873
cry,871
spot,866
central,863
short,857
conceal,857
danger,857
direction,857
upper,853
buy,850
charged,849
reply,846
identity,844
lack,843
injured,839
deduce,833
complete,832
heal,831
strange,830
afraid,830
arrived,828
tear,825
female,825
child,824
consider,824
city,823
instantly,821
reveal,816
continent,816
match,812
figure,812
coldly,812
success,812
advance,810
win,809
blow,808
seal,807
position,805
especially,798
talk,797
surface,797
placed,795
defensive,795
army,794
cicada,793
gradually,792
wide,790
reputation,789
snort,789
movement,787
case,785
middle,783
monster,781
risk,780
spend,779
eat,777
pain,775
village,772
stared,772
rely,771
forget,769
rush,769
vanish,768
flame,768
burst,767
location,767
smoke,765
side,762
dangerous,758
physique,758
certain,755
difficulty,754
history,753
chase,753
expend,753
terrifying,752
crystal,752
monkey,752
support,750
realized,749
silver,749
wing,749
catch,748
portion,746
normal,744
search,743
trouble,740
monarch,740
pale,739
pure,738
poison,734
slow,734
ago,732
color,732
add,732
crack,731
grit,729
skin,729
compared,727
loud,726
special,725
currently,725
silent,723
lifespan,723
tide,722
bit,719
pillar,717
autumn,716
weakness,715
finger,713
grade,710
arrangement,708
roar,707
learn,706
palace,706
chaotic,705
intention,701
thick,699
display,699
attitude,698
scale,697
memory,693
type,692
love,692
longevity,692
originally,691
deduction,690
possess,689
ahead,688
girl,688
answer,683
care,679
scream,678
recover,678
mysterious,676
received,675
sure,675
personally,674
tower,674
lightly,673
senior,673
transaction,670
earthly,669
managed,665
blade,664
emotion,662
range,661
grab,660
soil,658
meaning,655
lie,653
likely,653
accept,651
burn,650
value,649
cultivator,648
token,648
intent,647
discover,647
familiar,646
famous,645
sort,644
domain,644
surpass,642
original,642
fierce,637
beautiful,636
progress,636
boar,635
eventually,634
profound,634
anymore,632
generation,632
wonder,628
day,627
term,627
contain,626
yang,626
attract,625
influence,625
sand,623
forced,623
regional,621
prepared,620
decided,620
lone,620
palm,619
tall,618
encounter,618
rare,618
attempt,616
distance,616
cut,615
year,614
heavily,613
modify,613
line,611
dragonman,610
bamboo,609
split,609
family,608
forest,607
shrink,606
believe,602
starlight,601
near,600
fragment,598
scheme,597
pity,596
nature,596
thank,596
bird,595
hole,594
aspect,594
guess,592
snake,591
energy,587
surprised,584
hatred,584
